AUC,Beta1,Beta2
7778.188547,18,3.3
7777.808659,18,3.4
7775.909218,18,3.5
7788.329609,18,3.6
7793.76676,18,3.7
7799.73743,18,3.8
7806.553073,18,3.9
7801.803073,18,4
7813.188547,18,4.1
7819.247207,18,4.2
7821.206704,18,4.3
7813.547486,18,4.4
7810.837989,18,4.5
7813.234637,18,4.6
7808.685754,18,4.7
7796.620112,18,4.8
7809.871508,18,4.9
7821.804469,18,5
7816.821229,18,5.1
7827.092179,18,5.2
7821.493017,18,5.3
7830.013966,18,5.4
7829.135475,18,5.5
7832.895251,18,5.6
7819.666201,18,5.7
7826.72486,18,5.8
7830.329609,18,5.9
7823.710894,18,6
7719.034916,19,0
7746.796089,19,0.1
7756.226257,19,0.2
7743.068436,19,0.3
7734.97067,19,0.4
7730.082402,19,0.5
7748.078212,19,0.6
7739.023743,19,0.7
7736.361732,19,0.8
7739.030726,19,0.9
7752.399441,19,1
7727.115922,19,1.1
7737.759777,19,1.2
7727.291899,19,1.3
7741.48743,19,1.4
7746.129888,19,1.5
7762.702514,19,1.6
7758.21648,19,1.7
7759.972067,19,1.8
7754.688547,19,1.9
7753.272346,19,2
7771.199721,19,2.1
7790.601955,19,2.2
7779.973464,19,2.3
7767.317039,19,2.4
7775.22067,19,2.5
7769.585196,19,2.6
7775.667598,19,2.7
7761.965084,19,2.8
7761.015363,19,2.9
7771.52933,19,3
7774.578212,19,3.1
7780.361732,19,3.2
7786.181564,19,3.3
7792.920391,19,3.4
7802.850559,19,3.5
7803.480447,19,3.6
7801.805866,19,3.7
7809.185754,19,3.8
7803.46648,19,3.9
7817.72905,19,4
7819.743017,19,4.1
7805.092179,19,4.2
7800.659218,19,4.3
7794.25,19,4.4
7808.087989,19,4.5
7815.553073,19,4.6
7811.891061,19,4.7
7821.277933,19,4.8
7824.379888,19,4.9
7823.77514,19,5
7826.722067,19,5.1
7833.210894,19,5.2
7830.534916,19,5.3
7824.713687,19,5.4
7826.97486,19,5.5
7826.191341,19,5.6
7822.784916,19,5.7
7820.50419,19,5.8
7816.113128,19,5.9
7828.973464,19,6
7735.944134,20,0
7735.956704,20,0.1
7743.26257,20,0.2
7730.128492,20,0.3
7733.709497,20,0.4
7741.772346,20,0.5
7733.141061,20,0.6
7736.572626,20,0.7
7751.837989,20,0.8
7772.554469,20,0.9
7739.326816,20,1
7736.574022,20,1.1
7732.522346,20,1.2
7735.980447,20,1.3
7763.381285,20,1.4
7748.796089,20,1.5
7750.743017,20,1.6
7751.089385,20,1.7
7754.340782,20,1.8
7754.76676,20,1.9
7776.291899,20,2
7775.839385,20,2.1
7764.039106,20,2.2
7767.416201,20,2.3
